start_name,austria,belgium,bosnia and herzegovina,bulgaria,croatia,czechia,denmark,estonia,finland,france,germany,greece,hungary,iceland,ireland,italy,lithuania,luxembourg,netherlands,norway,poland,portugal,romania,serbia,slovakia,slovenia,spain,sweden,switzerland,united kingdom
austria,0.0,6158.2724874919995,4251.140493956,0.0,2840.4225707072856,17702.45804438886,4465.2808128140005,0.0,0.0,3143.3771721437142,101551.09384512543,0.0,41051.81038339164,0.0,0.0,33422.24218995715,0.0,0.0,8887.841403307073,0.0,6336.834018438643,0.0,5529.166176451214,2775.9515552246667,23567.510444309002,13012.615697155285,2020.0,5970.94196847825,22840.4747100295,7370.986697488284
belgium,6158.2724874919995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103614.17693038235,38683.45455368686,0.0,0.0,0.0,0.0,9882.752078954498,0.0,31926.483179869007,84494.85987176743,0.0,3262.137213420786,3487.8733282201665,1840.9384228664999,1978.4256599564285,0.0,0.0,12033.828481058643,0.0,0.0,18207.179891796855
bosnia and herzegovina,4251.140493956,0.0,0.0,0.0,15878.268750885643,0.0,0.0,0.0,0.0,0.0,4627.537025077099,0.0,0.0,0.0,0.0,1332.4999997745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15161.146343145,0.0,4022.5373414347378,0.0,0.0,0.0,0.0
bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4397.502772932035,18166.745134347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37937.99307926572,10520.9470278073,0.0,0.0,0.0,0.0,0.0,7653.1207989235
croatia,2840.4225707072856,0.0,15878.268750885643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5395.319961237643,0.0,0.0,0.0,0.0,10834.911675199666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9391.582023717641,0.0,11390.35774699507,0.0,0.0,0.0,0.0
czechia,17702.45804438886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3809.463997831072,54943.332898879715,0.0,3358.2267407165,0.0,0.0,7408.0585372816,0.0,0.0,2786.4331386618333,0.0,46467.72297550415,0.0,1073.554680162,0.0,36548.8189692135,0.0,0.0,0.0,0.0,7973.767939781857
denmark,4465.2808128140005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3809.043644328,32886.34491923029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4069.0248620678094,9940.548883155,8552.318561424167,0.0,0.0,0.0,0.0,0.0,8654.733858084786,24549.413958107212,0.0,11031.086111368428
estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16685.015080307498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8109.60413137325,0.0,0.0
finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16685.015080307498,0.0,0.0,4368.168528069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2284.0,0.0,0.0,0.0,0.0,0.0,0.0,6840.841347888832,29195.47136081457,0.0,5496.9999999955
france,3143.3771721437142,103614.17693038235,0.0,0.0,0.0,3809.463997831072,3809.043644328,0.0,0.0,0.0,118505.58311491943,0.0,2630.15135117825,0.0,4599.737241096666,74543.78745826978,0.0,79975.69297146086,22564.460777396787,2100.0,4715.281860334357,21897.199837474214,3969.582774592714,0.0,0.0,0.0,120109.63685046814,6587.993134067,158396.07967335364,91669.011836967
germany,101551.09384512543,38683.45455368686,4627.537025077099,4397.502772932035,5395.319961237643,54943.332898879715,32886.34491923029,0.0,4368.168528069,118505.58311491943,0.0,9436.714181513,13713.653018684714,0.0,3559.209973734167,45430.349490671426,4041.8012747717503,48994.81851469442,124441.84442037702,10366.659877203356,144087.69579833146,6664.988737808786,15859.309486276572,4022.9661519372144,3726.8459211341433,2842.1289830784854,27929.620070048357,9872.016022676216,72904.26513189278,33185.187277479425
greece,0.0,0.0,0.0,18166.745134347,0.0,0.0,0.0,0.0,0.0,0.0,9436.714181513,0.0,0.0,0.0,0.0,8964.660329817769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4112.0,0.0,0.0,0.0,0.0,0.0,9764.112574739
hungary,41051.81038339164,0.0,0.0,0.0,0.0,3358.2267407165,0.0,0.0,0.0,2630.15135117825,13713.653018684714,0.0,0.0,0.0,0.0,6918.210760339714,0.0,0.0,0.0,0.0,3200.7492695925716,0.0,21387.337919667283,9109.269816443644,44148.610341044565,0.0,0.0,0.0,2020.0,8509.611960715643
iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9779.715657248142
ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4599.737241096666,3559.209973734167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3028.9476216915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7473.8032330423575,0.0,0.0,101768.10631255628
italy,33422.24218995715,9882.752078954498,0.0,0.0,10834.911675199666,7408.0585372816,0.0,0.0,0.0,74543.78745826978,45430.349490671426,8964.660329817769,6918.210760339714,0.0,0.0,0.0,0.0,0.0,9120.311165814,0.0,7532.906159404333,6278.3189282700005,10778.330713283929,0.0,0.0,14556.025225122286,35130.69279285036,2963.0,94305.04049690929,33563.027829734216
lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4041.8012747717503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7485.0122024725715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4914.246127252133
luxembourg,0.0,31926.483179869007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79975.69297146086,48994.81851469442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
netherlands,8887.841403307073,84494.85987176743,0.0,0.0,0.0,2786.4331386618333,4069.0248620678094,0.0,0.0,22564.460777396787,124441.84442037702,0.0,0.0,0.0,3028.9476216915,9120.311165814,0.0,0.0,0.0,6056.7555096709175,8739.607237475571,4694.6068840716,2291.999999739,0.0,0.0,0.0,16117.913416663572,5541.550100498334,4848.144742975125,37652.93496737328
norway,0.0,0.0,0.0,0.0,0.0,0.0,9940.548883155,0.0,0.0,0.0,10366.659877203356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6056.7555096709175,0.0,11422.285073164428,0.0,0.0,0.0,0.0,0.0,17053.090483036714,8433.240664878856,0.0,17312.744936433926
poland,6336.834018438643,3262.137213420786,0.0,0.0,0.0,46467.72297550415,8552.318561424167,0.0,0.0,4715.281860334357,144087.69579833146,0.0,3200.7492695925716,0.0,2340.0,7532.906159404333,7485.0122024725715,0.0,8739.607237475571,11422.285073164428,0.0,0.0,2126.0,0.0,39490.660236805714,0.0,5170.958259600584,11062.123741341285,2042.0,28362.51559341514
portugal,0.0,3487.8733282201665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21897.199837474214,6664.988737808786,0.0,0.0,0.0,0.0,6278.3189282700005,0.0,0.0,4694.6068840716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94154.08469075215,0.0,6259.27533251225,22170.383672603217
romania,5529.166176451214,1840.9384228664999,0.0,37937.99307926572,0.0,0.0,0.0,0.0,0.0,3969.582774592714,15859.309486276572,0.0,21387.337919667283,0.0,0.0,10778.330713283929,0.0,0.0,2291.999999739,0.0,0.0,0.0,0.0,10287.059391634333,0.0,0.0,5678.554654265714,0.0,0.0,14845.632326834144
serbia,2775.9515552246667,1978.4256599564285,15161.146343145,10520.9470278073,9391.582023717641,0.0,0.0,0.0,0.0,0.0,4022.9661519372144,4112.0,9109.269816443644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10287.059391634333,0.0,0.0,1521.9176126329999,0.0,0.0,0.0,0.0
slovakia,23567.510444309002,0.0,0.0,0.0,0.0,36548.8189692135,0.0,0.0,0.0,0.0,3726.8459211341433,0.0,44148.610341044565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39490.660236805714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2070.0
slovenia,13012.615697155285,0.0,4022.5373414347378,0.0,11390.35774699507,0.0,0.0,0.0,0.0,0.0,2842.1289830784854,0.0,2058.0,0.0,0.0,14556.025225122286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1521.9176126329999,0.0,0.0,0.0,0.0,0.0,0.0
spain,0.0,12033.828481058643,0.0,0.0,0.0,0.0,8654.733858084786,0.0,6840.841347888832,120109.63685046814,27929.620070048357,0.0,2142.0,0.0,7473.8032330423575,35130.69279285036,0.0,0.0,16117.913416663572,17053.090483036714,5170.958259600584,94154.08469075215,5678.554654265714,0.0,0.0,0.0,0.0,18874.88144063443,7554.429220386572,120976.27576461414
sweden,5970.94196847825,0.0,0.0,0.0,0.0,0.0,24549.413958107212,8109.60413137325,29195.47136081457,6587.993134067,9872.016022676216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5541.550100498334,8433.240664878856,11062.123741341285,0.0,0.0,0.0,0.0,0.0,18874.88144063443,0.0,0.0,12566.628593793928
switzerland,22840.4747100295,3785.6891482799997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158396.07967335364,72904.26513189278,0.0,0.0,0.0,0.0,94305.04049690929,0.0,0.0,4848.144742975125,0.0,0.0,6259.27533251225,0.0,0.0,0.0,0.0,7554.429220386572,0.0,0.0,12586.710514747429
united kingdom,7370.986697488284,18207.179891796855,0.0,7653.1207989235,0.0,7973.767939781857,11031.086111368428,0.0,5496.9999999955,91669.011836967,33185.187277479425,9764.112574739,8509.611960715643,9779.715657248142,101768.10631255628,33563.027829734216,4914.246127252133,0.0,37652.93496737328,17312.744936433926,28362.51559341514,22170.383672603217,14845.632326834144,0.0,0.0,0.0,120976.27576461414,12566.628593793928,12586.710514747429,0.0
